run_name,method,seed,selection,budget,update_rule,queried_label,queried_count,labels_queried_total
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,37,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,37,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,37,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,37,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,53,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,53,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,53,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,53,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,71,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,71,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,71,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,71,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,83,random_nested,200,replay,Benign,189,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,83,random_nested,200,replay,DoS,1,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,83,random_nested,200,replay,Exploits,7,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,83,random_nested,200,replay,Reconnaissance,3,200
E23_UNSW_Reconnaissance_random_replay_B200,unsw_reconnaissance_random_replay_B200,97,random_nested,200,replay,Benign,189,200
