window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
146,73000,73500,500,0.0,0.3910871222682728,0.26072474817884855,0.45256502336627596,0.450646398965405,0.26072474817884855,,,0.898,,0.3910871222682728,0.0,,1.0,0.102,0.551830404588631,False,latched,0.16033284039435167,0.0,0,{},50,False,0.34161943793542465,0.0
147,73500,74000,500,0.0,0.436769991015274,0.3639749925127283,0.4529166666666667,0.5359693097625423,0.3639749925127283,,,0.958,,0.436769991015274,0.0,,1.0,0.042,0.6053485639854028,False,latched,0.09682985846534803,0.0,0,{},50,False,0.34161943793542465,0.0
148,74000,74500,500,0.0,0.42345621360290076,0.28230414240193386,0.5275889121338913,0.4163407131331747,0.3387649708823206,,,0.952,,0.42345621360290076,0.0,,1.0,0.048,0.5911834168872241,False,latched,0.07283887248246873,0.0,0,{},50,False,0.34161943793542465,0.0
149,74500,75000,500,0.0,0.325030525030525,0.2708587708587708,0.3906469760900141,0.4752733121825778,0.325030525030525,,,0.944,,0.325030525030525,0.0,,1.0,0.056,0.6087642240363876,False,latched,0.08777856043567563,0.0,0,{},50,False,0.34161943793542465,0.0
150,75000,75500,500,0.0,0.3496719576719577,0.2913932980599647,0.34149085794655415,0.5326033578498928,0.2913932980599647,,,0.95,,0.3496719576719577,0.0,,1.0,0.05,0.61121487292263,False,latched,0.09573440041202506,0.0,0,{},50,False,0.34161943793542465,0.0
151,75500,76000,500,0.0,0.3923925111844177,0.3923925111844177,0.47792472693775495,0.5289011916091569,0.3923925111844177,,,0.898,,0.3923925111844177,0.0,,1.0,0.102,0.5631406103028932,False,latched,0.27107667889669884,0.0,0,{},50,False,0.34161943793542465,0.0
152,76000,76500,500,0.0,0.4569590197490084,0.38079918312417366,0.46020114942528734,0.46338608421532834,0.38079918312417366,,,0.924,,0.4569590197490084,0.0,,1.0,0.076,0.5715808201858597,False,latched,0.10492589514249903,0.0,0,{},50,False,0.34161943793542465,0.0
153,76500,77000,500,0.0,0.45434173669467787,0.37861811391223155,0.4471794871794872,0.6477424190407656,0.37861811391223155,,,0.956,,0.45434173669467787,0.0,,1.0,0.044,0.6071455657479555,False,latched,0.12658299142463517,0.0,0,{},50,False,0.34161943793542465,0.0
154,77000,77500,500,0.0,0.38743588352869096,0.3228632362739091,0.38651583710407234,0.5026353850111203,0.3228632362739091,,,0.872,,0.38743588352869096,0.0,,1.0,0.128,0.5319453376057911,False,latched,0.2520848948702206,0.0,0,{},50,False,0.34161943793542465,0.0
155,77500,78000,500,0.0,0.19889090542448074,0.19889090542448074,0.21423853923853922,0.3583695016421276,0.19889090542448074,,,0.782,,0.19889090542448074,0.0,,1.0,0.218,0.43290575471199055,False,latched,0.3063922978031759,0.0,0,{},50,False,0.34161943793542465,0.0
156,78000,78500,500,0.0,0.2391575556226719,0.2391575556226719,0.26827354260089686,0.440723066424434,0.2391575556226719,,,0.868,,0.2391575556226719,0.0,,1.0,0.132,0.5194241116255107,False,latched,0.23147630902396302,0.0,0,{},50,False,0.34161943793542465,0.0
