window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
156,78000,78500,500,0.634,0.8875379939209727,0.29584599797365757,0.7978142076502732,,0.09040247678018576,0.6695451329996768,0.6756304838737481,0.7978142076502732,0.0,0.0,0.0,1.0,0.44376899696048633,0.2260061919504644,0.0546448087431694,1.0,0.98,0.7020408163265306,0.15311253685719148,False,latched,0.7944898990874605,0.02,0,{},50,False,0.5303209661413969,0.0
157,78500,79000,500,0.582,0.9114583333333334,0.3038194444444445,0.8373205741626795,,0.1037037037037037,0.6432426555716395,0.6984330554596426,0.8373205741626795,0.0,0.0,0.0,1.0,0.4557291666666667,0.25925925925925924,0.004784688995215311,1.0,0.998,0.6492985971943888,0.08963059446014593,False,latched,0.7116864582748603,0.002,0,{},50,False,0.5303209661413969,0.0
158,79000,79500,500,0.74,0.8073394495412844,0.26911314984709483,0.676923076923077,,0.05986394557823129,0.7035893954997237,0.5586278586278586,0.676923076923077,0.0,0.0,0.0,1.0,0.4036697247706422,0.14965986394557823,0.046153846153846156,1.0,0.988,0.8218623481781376,0.2076998815927994,False,latched,0.8974288022038486,0.012,0,{},50,False,0.5303209661413969,0.0
159,79500,80000,500,0.738,0.8706896551724138,0.29022988505747127,0.7709923664122137,,0.08402662229617304,0.7648024190896843,0.6656943668673327,0.7709923664122137,0.0,0.0,0.0,1.0,0.4353448275862069,0.16805324459234608,0.0,1.0,1.0,0.798,0.14196286216204002,False,latched,1.1544527839792116,0.0,0,{},50,False,0.5303209661413969,0.0
160,80000,80500,500,0.642,0.8414239482200647,0.28047464940668826,0.7262569832402235,,0.08253968253968254,0.7304970855238736,0.7008301571555371,0.7262569832402235,0.0,0.0,0.0,1.0,0.42071197411003236,0.20634920634920634,0.0111731843575419,1.0,0.996,0.7389558232931727,0.07927370249523052,False,latched,1.0477439119675773,0.004,0,{},50,False,0.5303209661413969,0.0
161,80500,81000,500,0.738,0.8355555555555556,0.27851851851851855,0.7175572519083969,,0.0632996632996633,0.7319646454358151,0.634953143424564,0.7175572519083969,0.0,0.0,0.0,1.0,0.4177777777777778,0.15824915824915825,0.022900763358778626,1.0,0.994,0.8108651911468813,0.22491282241443872,False,latched,1.0170452800072278,0.006,0,{},50,False,0.5303209661413969,0.0
162,81000,81500,500,0.674,0.8680555555555556,0.28935185185185186,0.7668711656441718,,0.1,0.7064714937706599,0.6954360925524748,0.7668711656441718,0.0,0.0,0.0,1.0,0.4340277777777778,0.2,0.04294478527607362,1.0,0.986,0.7464503042596349,0.2171643892179376,False,latched,0.8186618610493595,0.014,0,{},50,False,0.5303209661413969,0.0
163,81500,82000,500,0.712,0.8571428571428571,0.2857142857142857,0.75,,0.07105263157894737,0.69610603294507,0.6205329275905118,0.75,0.0,0.0,0.0,1.0,0.42857142857142855,0.17763157894736842,0.027777777777777776,1.0,0.992,0.782258064516129,0.17526141309076584,False,latched,0.8085013164319866,0.008,0,{},50,False,0.5303209661413969,0.0
164,82000,82500,500,0.668,0.8933333333333333,0.29777777777777775,0.8072289156626506,,0.08454258675078864,0.6210974771228144,0.5260262607315489,0.8072289156626506,0.0,0.0,0.0,1.0,0.44666666666666666,0.2113564668769716,0.04819277108433735,1.0,0.984,0.7276422764227642,0.15565773503607994,False,latched,0.8296174222245281,0.016,0,{},50,False,0.5303209661413969,0.0
165,82500,83000,500,0.726,0.8138528138528138,0.2712842712842713,0.6861313868613139,,0.0632996632996633,0.6735633845259372,0.5034887695803423,0.6861313868613139,0.0,0.0,0.0,1.0,0.4069264069264069,0.15824915824915825,0.043795620437956206,1.0,0.988,0.8097165991902834,0.1855864926630395,False,latched,0.8662429005600416,0.012,0,{},50,False,0.5303209661413969,0.0
