window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
117,58500,59000,500,0.0,0.3386139386139386,0.3386139386139386,0.3619588744588745,0.46140546597845983,0.3386139386139386,,,0.922,,0.3386139386139386,0.0,,1.0,0.078,0.5558468108757483,False,latched,0.11389412463386166,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
118,59000,59500,500,0.0,0.515177143818901,0.3434514292126007,0.5120945356491394,0.39135131596475603,0.3434514292126007,,,0.92,,0.515177143818901,0.0,,1.0,0.08,0.5726374842502143,False,latched,0.15233620965362413,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
119,59500,60000,500,0.0,0.42462982394776727,0.3538581866231394,0.5554692317178443,0.47513706274527573,0.42462982394776727,,,0.952,,0.42462982394776727,0.0,,1.0,0.048,0.6131839153724374,False,latched,0.0927936081582951,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
120,60000,60500,500,0.0,0.28876070543159793,0.28876070543159793,0.4249838813668601,0.44347890548914193,0.28876070543159793,,,0.922,,0.28876070543159793,0.0,,1.0,0.078,0.591648450325809,False,latched,0.150364854697238,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
121,60500,61000,500,0.0,0.3355040026261405,0.3355040026261405,0.42290926665926665,0.53803745084396,0.3355040026261405,,,0.866,,0.3355040026261405,0.0,,1.0,0.134,0.5314940384094561,False,latched,0.32727713831728245,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
122,61000,61500,500,0.0,0.27207168679205496,0.27207168679205496,0.32721766001582514,0.4126088018996091,0.27207168679205496,,,0.816,,0.27207168679205496,0.0,,1.0,0.184,0.4816462513037988,False,latched,0.2841462224302429,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
123,61500,62000,500,0.0,0.2585978835978836,0.2585978835978836,0.314451566951567,0.4137178276028137,0.2585978835978836,,,0.848,,0.2585978835978836,0.0,,1.0,0.152,0.4967564913715994,False,latched,0.18768030956995155,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
124,62000,62500,500,0.0,0.2350748076177822,0.2350748076177822,0.3723196881091618,0.44169925697284307,0.2350748076177822,,,0.884,,0.2350748076177822,0.0,,1.0,0.116,0.5265326459020847,False,latched,0.16010745097984866,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
125,62500,63000,500,0.0,0.3148438571232689,0.3148438571232689,0.3503166213845022,0.4702561062069514,0.3148438571232689,,,0.878,,0.3148438571232689,0.0,,1.0,0.122,0.5334614083821504,False,latched,0.19768652927004204,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
126,63000,63500,500,0.0,0.4040421531825527,0.33670179431879393,0.4879232299338746,0.5022257225032791,0.33670179431879393,,,0.87,,0.4040421531825527,0.0,,1.0,0.13,0.5197583465524557,False,latched,0.20489754633291982,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
127,63500,64000,500,0.0,0.2935649576394154,0.24463746469951286,0.3416187356613179,0.3691101418837841,0.24463746469951286,,,0.802,,0.2935649576394154,0.0,,1.0,0.198,0.46610825780640996,False,latched,0.2360612479672486,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
128,64000,64500,500,0.0,0.3559930150407931,0.3559930150407931,0.4580790373544561,0.5069032932154454,0.3559930150407931,,,0.882,,0.3559930150407931,0.0,,1.0,0.118,0.5388549093359148,False,latched,0.170072658879364,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
129,64500,65000,500,0.0,0.21574927498779684,0.21574927498779684,0.34686263058854067,0.278427605849626,0.21574927498779684,,,0.848,,0.21574927498779684,0.0,,1.0,0.152,0.5203846341408639,False,latched,0.18931028220597795,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
130,65000,65500,500,0.0,0.3550638363775397,0.29588653031461637,0.5280645161290323,0.36579490514391094,0.29588653031461637,,,0.852,,0.3550638363775397,0.0,,1.0,0.148,0.5147047173848551,False,latched,0.16968166183644343,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
131,65500,66000,500,0.0,0.30164783633936487,0.30164783633936487,0.3632125210894192,0.4430371608921384,0.30164783633936487,,,0.898,,0.30164783633936487,0.0,,1.0,0.102,0.5457782455805147,False,latched,0.12758467435606563,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
132,66000,66500,500,0.0,0.2699595489756514,0.2699595489756514,0.29249591028455807,0.49229110055832526,0.2699595489756514,,,0.876,,0.2699595489756514,0.0,,1.0,0.124,0.52828470753804,False,latched,0.15215555883746318,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
133,66500,67000,500,0.0,0.3524118939323618,0.3524118939323618,0.34315718157181574,0.5516182467957654,0.3524118939323618,,,0.908,,0.3524118939323618,0.0,,1.0,0.092,0.575468833724206,False,latched,0.19276984899726393,0.0,0,100,False,0.33980960910809427,0.00046492399374842286
