window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
111,55500,56000,500,0.0,0.2282504296835507,0.3436041083099906,0.3663615753133857,0.2282504296835507,,,0.928,,0.928,0.0,,1.0,0.072,0.569021400342005,False,none,0.1082611540254234,0.0,0,0,False,0.3402745331018427,0.0
112,56000,56500,500,0.0,0.32353440566414865,0.35345188284518825,0.43548885361803885,0.32353440566414865,,,0.94,,0.94,0.0,,1.0,0.06,0.5844183838653637,False,none,0.11347842383969667,0.0,0,0,False,0.3402745331018427,0.0
113,56500,57000,500,0.0,0.29844933606630425,0.2921338368936622,0.5154377109121853,0.29844933606630425,,,0.922,,0.922,0.0,,1.0,0.078,0.5767569073075778,False,none,0.07245623650530816,0.0,0,0,False,0.3402745331018427,0.0
114,57000,57500,500,0.0,0.29240314205831447,0.30302402911098564,0.5413445009093519,0.29240314205831447,,,0.934,,0.934,0.0,,1.0,0.066,0.5938277538599245,False,none,0.08058942073279796,0.0,0,0,False,0.3402745331018427,0.0
115,57500,58000,500,0.0,0.3737321287853202,0.4793179983857949,0.5033090831242613,0.3737321287853202,,,0.942,,0.942,0.0,,1.0,0.058,0.585305586885097,False,none,0.09535641924703586,0.0,0,0,False,0.3402745331018427,0.0
116,58000,58500,500,0.0,0.35861700995762846,0.4570588788562829,0.5423520469282355,0.35861700995762846,,,0.884,,0.884,0.0,,1.0,0.116,0.5455987195610807,False,none,0.07474936883516818,0.0,0,0,False,0.3402745331018427,0.0
117,58500,59000,500,0.0,0.23916106275818508,0.28111383442265797,0.36741319972846886,0.23916106275818508,,,0.8,,0.8,0.0,,1.0,0.2,0.46845746460700416,False,none,0.09627350796368762,0.0,0,0,False,0.3402745331018427,0.0
118,59000,59500,500,0.0,0.2439686086423093,0.32098884598884597,0.45328498356038177,0.2439686086423093,,,0.848,,0.848,0.0,,1.0,0.152,0.4970140628851085,False,none,0.08968716690762726,0.0,0,0,False,0.3402745331018427,0.0
119,59500,60000,500,0.0,0.2999635455140563,0.32374631268436577,0.46466266277095836,0.2999635455140563,,,0.878,,0.878,0.0,,1.0,0.122,0.5180460286135428,False,none,0.08431409623223701,0.0,0,0,False,0.3402745331018427,0.0
120,60000,60500,500,0.0,0.30761039084530745,0.43573559177586024,0.4407538324387567,0.30761039084530745,,,0.852,,0.852,0.0,,1.0,0.148,0.5169631400017316,False,none,0.0673976159570278,0.0,0,0,False,0.3402745331018427,0.0
