window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
52,26000,26500,500,0.0,0.3030589341324402,0.2525491117770335,0.3922077922077922,0.401100594762578,0.2525491117770335,,,0.902,,0.3030589341324402,0.0,,1.0,0.098,0.5752188946073823,False,latched,0.20285842444926613,0.0,0,{},50,False,0.3306593973796234,0.0
53,26500,27000,500,0.0,0.36289788642729814,0.24193192428486543,0.39932036247334757,0.38150537086961195,0.24193192428486543,,,0.922,,0.36289788642729814,0.0,,1.0,0.078,0.559007602574972,False,latched,0.10839717004239283,0.0,0,{},50,False,0.3306593973796234,0.0
54,27000,27500,500,0.0,0.25597637442615606,0.25597637442615606,0.2409306195596518,0.40748548013324354,0.25597637442615606,,,0.904,,0.25597637442615606,0.0,,1.0,0.096,0.5524279826925478,False,latched,0.15573194648353897,0.0,0,{},50,False,0.3306593973796234,0.0
55,27500,28000,500,0.0,0.31381673881673877,0.31381673881673877,0.3665769707874971,0.5213995029067086,0.31381673881673877,,,0.86,,0.31381673881673877,0.0,,1.0,0.14,0.5400003205224122,False,latched,0.31497435850237687,0.0,0,{},50,False,0.3306593973796234,0.0
56,28000,28500,500,0.0,0.23751295475662926,0.19792746229719105,0.28442985394613424,0.29510579523585495,0.19792746229719105,,,0.768,,0.23751295475662926,0.0,,1.0,0.232,0.45643230114310707,False,latched,0.34423299251949196,0.0,0,{},50,False,0.3306593973796234,0.0
57,28500,29000,500,0.0,0.2486552028218695,0.2486552028218695,0.3532695374800638,0.38963114336863813,0.2486552028218695,,,0.842,,0.2486552028218695,0.0,,1.0,0.158,0.5057882158724908,False,latched,0.23654725121244696,0.0,0,{},50,False,0.3306593973796234,0.0
58,29000,29500,500,0.0,0.3753682118008494,0.3753682118008494,0.4577335396657191,0.5045989146717424,0.3753682118008494,,,0.876,,0.3753682118008494,0.0,,1.0,0.124,0.5287944557163415,False,latched,0.237133305570661,0.0,0,{},50,False,0.3306593973796234,0.0
59,29500,30000,500,0.0,0.25902909916332734,0.25902909916332734,0.336067844646276,0.42172885657357767,0.25902909916332734,,,0.882,,0.25902909916332734,0.0,,1.0,0.118,0.5500627427655741,False,latched,0.18613743185691045,0.0,0,{},50,False,0.3306593973796234,0.0
60,30000,30500,500,0.0,0.22758218489807636,0.22758218489807636,0.29272101217168484,0.3350258710847002,0.22758218489807636,,,0.83,,0.22758218489807636,0.0,,1.0,0.17,0.5036808474334035,False,latched,0.2463181278789087,0.0,0,{},50,False,0.3306593973796234,0.0
61,30500,31000,500,0.0,0.29330098548108025,0.29330098548108025,0.32626728110599074,0.39685617234580656,0.29330098548108025,,,0.828,,0.29330098548108025,0.0,,1.0,0.172,0.500176468259057,False,latched,0.245058411847012,0.0,0,{},50,False,0.3306593973796234,0.0
