window,start_row,stop_row,n_rows,shift_score,dominant_shift_feature,dominant_shift_contribution_percent,maximum_absolute_standardized_change,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
74,37000,37500,500,0.06269656976942618,pca_component_1,24.366820206100495,0.1750726070952467,0.036,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.1426897132033165
75,37500,38000,500,0.05247902928484786,pca_component_5,30.580193086348924,0.1641651220917129,0.054,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,-0.5347404426502813
76,38000,38500,500,0.054620191907054846,pca_component_2,33.415596525060536,0.1786087866049549,0.052,0.014,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.4525832572525011
77,38500,39000,500,0.0585862233435076,pca_component_1,23.336110505615274,0.1600975656665317,0.052,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.3004051944380953
78,39000,39500,500,0.06209859644295665,pca_component_1,21.1734006450688,0.1616412056756523,0.036,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.1656341663411387
79,39500,40000,500,0.05720320350722099,pca_component_1,30.57871179499761,0.17893896991942104,0.056,0.008,Benign|Exploits|Fuzzers|Reconnaissance,post_change,-0.353472166521462
80,40000,40500,500,0.05739737421472885,pca_component_1,51.0339658538706,0.23195122659889514,0.032,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.34602176614080415
81,40500,41000,500,0.05132753995080162,pca_component_10,18.80739974232449,0.1259185797395581,0.058,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.5789235054964331
82,41000,41500,500,0.04793465079296438,pca_component_20,15.261372560742423,0.10593058099536454,0.05,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,-0.7091098914736145
83,41500,42000,500,0.05550993739637065,pca_component_1,20.94149878445642,0.1436976305886211,0.046,0.014,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.4184434005389505
84,42000,42500,500,0.05894988738850438,pca_component_2,31.11562046882665,0.18601467242071337,0.06,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.2864512733031788
85,42500,43000,500,0.06049288180449853,pca_component_2,34.66952982970581,0.2014898805537565,0.062,0.016,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.22724601864956198
86,43000,43500,500,0.0675258407428718,pca_component_2,32.24830856726958,0.21691943254725768,0.068,0.01,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,0.0426111633328769
87,43500,44000,500,0.060433333950481095,pca_component_1,16.43961156806615,0.13861087941898775,0.034,0.01,Backdoor|Benign|DoS|Exploits|Reconnaissance|Shellcode,post_change,-0.229530891377962
88,44000,44500,500,0.06365090264202801,pca_component_2,27.734007665374957,0.18962075507120568,0.074,0.008,Backdoor|Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.106071615197884
89,44500,45000,500,0.05067876805150543,pca_component_5,25.04523265944703,0.14347081767924996,0.044,0.01,Benign|Exploits|Generic|Reconnaissance,post_change,-0.6038171182741526
90,45000,45500,500,0.05695961837029296,pca_component_2,26.00711189474889,0.16431912859078823,0.078,0.004,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.3628186164581381
91,45500,46000,500,0.05967776605869835,pca_component_2,32.62389774927381,0.19282150596417083,0.054,0.008,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.25852230507162205
92,46000,46500,500,0.058400989630714044,pca_component_5,23.810375074106318,0.16120492801435116,0.044,0.006,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.3075126790943579
93,46500,47000,500,0.047214104905413,pca_component_5,28.196701755692725,0.1418227509467441,0.042,0.01,Benign|DoS|Exploits|Reconnaissance,post_change,-0.736757498179054
94,47000,47500,500,0.20382978555942752,pca_component_16,39.577657667933366,0.7253835132697012,0.172,0.094,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,5.272642898708464
95,47500,48000,500,0.3199045495809827,pca_component_16,43.671181396307105,1.195894520568766,0.24,0.208,Benign|DoS|Exploits|Fuzzers|Reconnaissance|Shellcode,post_change,8.0
96,48000,48500,500,0.21019424429933112,pca_component_16,46.68087007562335,0.8123913300693054,0.2,0.128,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,5.516849485927804
97,48500,49000,500,0.05648035365564757,pca_component_16,23.120848322758857,0.15362938036276902,0.066,0.02,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.3812081771609819
98,49000,49500,500,0.056326039045483695,pca_component_2,18.697202023159196,0.13777566355710835,0.064,0.008,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.3871292846496563
99,49500,50000,500,0.05485022675739153,pca_component_2,20.309693186464376,0.13983152620783929,0.07,0.012,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,-0.4437567367205941
100,50000,50500,500,0.05441236779159885,pca_component_5,26.513489945426866,0.1584915317656891,0.054,0.008,Benign|Exploits|Reconnaissance,post_change,-0.4605575438417414
101,50500,51000,500,0.05838216715648253,pca_component_5,23.83290196771709,0.16122918716577755,0.034,0.004,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,-0.30823490424860134
102,51000,51500,500,0.057434674275532636,pca_component_1,14.100606806546377,0.12200230975774146,0.048,0.008,Benign|DoS|Exploits|Fuzzers|Reconnaissance,post_change,-0.34459054929672966
103,51500,52000,500,0.055370931538389366,pca_component_15,14.810264591766138,0.12054195419373454,0.058,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,-0.42377710566115845
