window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
115,57500,58000,500,0.66,0.8316151202749141,0.27720504009163804,0.711764705882353,,0.07793880837359099,0.627497242652363,0.5519073083778966,0.711764705882353,0.0,0.0,0.0,1.0,0.41580756013745707,0.19484702093397746,0.052941176470588235,1.0,0.982,0.7535641547861507,0.12792425718053402,False,latched,0.8028092803928151,0.018,0,{},0,False,0.5193428171074622,0.0
116,58000,58500,500,0.668,0.7794117647058824,0.25980392156862747,0.6385542168674698,,0.06996699669966996,0.6662435154697051,0.6140790707741144,0.6385542168674698,0.0,0.0,0.0,1.0,0.3897058823529412,0.17491749174917492,0.03614457831325301,1.0,0.988,0.7854251012145749,0.13458784518285338,False,latched,1.0251936561402335,0.012,0,{},0,False,0.5193428171074622,0.0
117,58500,59000,500,0.626,0.845679012345679,0.28189300411522633,0.732620320855615,,0.08602825745682888,0.6785723614393807,0.6957167996446327,0.732620320855615,0.0,0.0,0.0,1.0,0.4228395061728395,0.2150706436420722,0.0481283422459893,1.0,0.982,0.7209775967413442,0.18500012679003808,False,latched,1.0330983581513775,0.018,0,{},0,False,0.5193428171074622,0.0
118,59000,59500,500,0.668,0.8268551236749117,0.2756183745583039,0.7048192771084337,,0.07585089141004862,0.6839611794731453,0.6526044296948272,0.7048192771084337,0.0,0.0,0.0,1.0,0.4134275618374558,0.18962722852512157,0.060240963855421686,1.0,0.98,0.7612244897959184,0.1667404103369199,False,latched,1.0111454661683887,0.02,0,{},0,False,0.5193428171074622,0.0
119,59500,60000,500,0.464,0.871578947368421,0.2905263157894737,0.7723880597014925,,0.11711456859971711,0.5188256304755967,0.6831414050437469,0.7723880597014925,0.0,0.0,0.0,1.0,0.4357894736842105,0.2927864214992928,0.041044776119402986,1.0,0.978,0.5766871165644172,0.2224303699901954,False,latched,0.6013920076859461,0.022,0,{},0,False,0.5193428171074622,0.0
120,60000,60500,500,0.586,0.8435754189944135,0.2811918063314712,0.7294685990338164,,0.09278033794162827,0.5437946005544767,0.5368419317076387,0.7294685990338164,0.0,0.0,0.0,1.0,0.42178770949720673,0.23195084485407066,0.04830917874396135,1.0,0.98,0.6918367346938775,0.1513387616016725,False,latched,0.7043332824732661,0.02,0,{},0,False,0.5193428171074622,0.0
121,60500,61000,500,0.616,0.8148148148148148,0.2716049382716049,0.6875,,0.08354430379746836,0.5794778849194037,0.5585599296536795,0.6875,0.0,0.0,0.0,1.0,0.4074074074074074,0.2088607594936709,0.057291666666666664,1.0,0.978,0.7300613496932515,0.19228753618983355,False,latched,0.6551341792930143,0.022,0,{},0,False,0.5193428171074622,0.0
122,61000,61500,500,0.608,0.7938461538461539,0.26461538461538464,0.6581632653061225,,0.0820349761526232,0.6026308554648765,0.608451933404941,0.6581632653061225,0.0,0.0,0.0,1.0,0.39692307692307693,0.20508744038155802,0.03571428571428571,1.0,0.986,0.7383367139959433,0.18593408457815203,False,latched,0.65550399632288,0.014,0,{},0,False,0.5193428171074622,0.0
123,61500,62000,500,0.604,0.8,0.26666666666666666,0.6666666666666666,,0.08354430379746836,0.5992923377697039,0.6075155528797913,0.6666666666666666,0.0,0.0,0.0,1.0,0.4,0.2088607594936709,0.06060606060606061,1.0,0.976,0.7295081967213115,0.23166029962631973,False,latched,0.692259804641767,0.024,0,{},0,False,0.5193428171074622,0.0
124,62000,62500,500,0.72,0.6341463414634146,0.21138211382113822,0.4642857142857143,,0.04601769911504425,0.6976911089556594,0.5675396825396826,0.4642857142857143,0.0,0.0,0.0,1.0,0.3170731707317073,0.11504424778761062,0.05714285714285714,1.0,0.984,0.8678861788617886,0.2490621023640988,False,latched,0.877531156047516,0.016,0,{},0,False,0.5193428171074622,0.0
125,62500,63000,500,0.556,0.8730964467005076,0.2910321489001692,0.7747747747747747,,0.10238095238095238,0.622683624745291,0.7066724998379674,0.7747747747747747,0.0,0.0,0.0,1.0,0.4365482233502538,0.25595238095238093,0.04054054054054054,1.0,0.982,0.6496945010183299,0.14083184406028065,False,latched,0.7051134251436587,0.018,0,{},0,False,0.5193428171074622,0.0
126,63000,63500,500,0.642,0.782312925170068,0.26077097505668934,0.6424581005586593,,0.07479674796747968,0.6017793611014897,0.5501313980403418,0.6424581005586593,0.0,0.0,0.0,1.0,0.391156462585034,0.18699186991869918,0.0893854748603352,1.0,0.968,0.762396694214876,0.18306549527275798,False,latched,0.8417127340685113,0.032,0,{},0,False,0.5193428171074622,0.0
127,63500,64000,500,0.774,0.7513812154696132,0.2504604051565377,0.6017699115044248,,0.04788732394366197,0.7543697497593854,0.6031419359264595,0.6017699115044248,0.0,0.0,0.0,1.0,0.3756906077348066,0.11971830985915492,0.07964601769911504,1.0,0.982,0.8615071283095723,0.20951193658277648,False,latched,1.2643298839150663,0.018,0,{},0,False,0.5193428171074622,0.0
128,64000,64500,500,0.688,0.8401486988847584,0.28004956629491945,0.7243589743589743,,0.07373572593800978,0.7362171602513052,0.7140727489564699,0.7243589743589743,0.0,0.0,0.0,1.0,0.4200743494423792,0.18433931484502447,0.038461538461538464,1.0,0.988,0.771255060728745,0.17513538021857586,False,latched,1.0929563891773006,0.012,0,{},0,False,0.5193428171074622,0.0
129,64500,65000,500,0.528,0.8788598574821853,0.2929532858273951,0.7838983050847458,,0.10802919708029197,0.5824288089863596,0.6882222650231125,0.7838983050847458,0.0,0.0,0.0,1.0,0.43942992874109266,0.27007299270072993,0.03389830508474576,1.0,0.984,0.6239837398373984,0.15259936653914558,False,latched,0.7534382220651347,0.016,0,{},0,False,0.5193428171074622,0.0
130,65000,65500,500,0.418,0.867704280155642,0.2892347600518807,0.7663230240549829,,0.12337482710926695,0.44724645268110486,0.6368075765796872,0.7663230240549829,0.0,0.0,0.0,1.0,0.433852140077821,0.3084370677731674,0.03436426116838488,1.0,0.98,0.5448979591836735,0.2042578546641431,False,latched,0.5558938501158386,0.02,0,{},0,False,0.5193428171074622,0.0
