metric,higher_is_better,analysis_family,contrast,contrast_definition,n_seeds,mean_difference,std_difference,paired_dz,median_difference,minimum_difference,maximum_difference,positive_seed_count,negative_seed_count,zero_seed_count,bootstrap_95_low,bootstrap_95_high,exact_sign_flip_p_raw,wilcoxon_p_raw,holm_p_within_metric_family,holm_p_within_metric_all,holm_p_across_all_tests
Source forgetting,False,factorial_effects,Budget main: B200 minus B50,Mean(B200 across selection/update) minus mean(B50 across selection/update),10,0.0016807297214519901,0.004055824078316033,0.4143990688446784,0.000783735082640475,-0.0043597495080205245,0.0084538757242134,6,4,0,-0.000610102064417872,0.004137360813865193,0.220703125,0.322265625,1.0,1.0,1.0
Source forgetting,False,factorial_effects,Budget x update,Anchoring effect at B200 − anchoring effect at B50,10,0.0006385992274360797,0.003123897711344566,0.20442385969200583,0.0004546008824430517,-0.004043220111641703,0.00624107562427275,6,4,0,-0.0011801398470459557,0.002485972858099175,0.53515625,0.4921875,1.0,1.0,1.0
Source forgetting,False,factorial_effects,Selection main: random minus UD,Mean(random across budget/update) minus mean(UD across budget/update),10,-0.0007482789562482349,0.002325570770999309,-0.3217614211442363,-0.0008923579519387846,-0.003908697633922875,0.004007334141057847,4,6,0,-0.0020543916705276265,0.0006838208750436099,0.33203125,0.375,1.0,1.0,1.0
Source forgetting,False,factorial_effects,Selection x budget,(random B200 − random B50) − (UD B200 − UD B50),10,0.0023976337660062295,0.0068335561163896715,0.3508617951136334,0.003383828916823848,-0.008711494538499398,0.012507215803173051,7,3,0,-0.0015941165740987022,0.0064051633599613135,0.298828125,0.375,1.0,1.0,1.0
Source forgetting,False,factorial_effects,Selection x budget x update,Difference between the random and UD budget-by-update interactions,10,-0.0023654901383612587,0.0069407584982796216,-0.3408114745596729,-0.0006717918368847496,-0.017828097394293602,0.004733509058280202,4,6,0,-0.006754052157602779,0.001337684173866635,0.34375,0.4921875,1.0,1.0,1.0
Source forgetting,False,factorial_effects,Selection x update,Anchoring effect under random − anchoring effect under UD,10,-0.0008641097255339099,0.0016490476733369722,-0.5240053028820681,-0.0016315634699910243,-0.0026425748858318505,0.0014299750852501021,4,6,0,-0.0018088276106592346,0.0001159324953318411,0.126953125,0.083984375,0.76171875,1.0,1.0
Source forgetting,False,factorial_effects,Update main: anchored minus naive,Mean(source-anchored) minus mean(naive replay),10,0.0008358846181219595,0.0007300751507013188,1.1449295559765305,0.000994926443561299,-0.00041733938639459955,0.0018492560391570288,9,1,0,0.0003975035077287338,0.0012529911567845577,0.01171875,0.013671875,0.08203125,0.1171875,0.28125
Source forgetting,False,simple_effects,At B200: random minus UD,"Random minus UD at budget 200, averaged across update rules",10,0.00045053792675487996,0.0016642679732711812,0.2707123696368024,0.0003641406515594997,-0.0018214274219642487,0.003331968936503747,6,4,0,-0.0005018861858246006,0.00145409268092365,0.4140625,0.556640625,0.873046875,1.0,1.0
Source forgetting,False,simple_effects,At B50: random minus UD,"Random minus UD at budget 50, averaged across update rules",10,-0.0019470958392513494,0.005603170132426807,-0.34749896812575215,-0.002707117493078722,-0.0101623055355094,0.00836308141030755,3,7,0,-0.00514524803908299,0.001399271017893546,0.291015625,0.232421875,0.873046875,1.0,1.0
Source forgetting,False,simple_effects,Within UD: B200 minus B50,Budget 200 minus budget 50 under uncertainty-diversity querying,10,0.00048191283844887557,0.007323998439755072,0.06579914542758855,-0.000924482565611626,-0.01061335740960705,0.01159679014783455,4,6,0,-0.0037488447298711395,0.00485022128962586,0.861328125,1.0,0.873046875,1.0,1.0
Source forgetting,False,simple_effects,Within random: B200 minus B50,Budget 200 minus budget 50 under random nested querying,10,0.002879546604455105,0.0016146855300289286,1.7833482439168915,0.0027941246314350243,0.000887266239965899,0.005972871160355952,10,0,0,0.00197436765094263,0.003871049426046058,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Source forgetting,False,static_comparisons,Random B200 minus static,Random B200 marginal mean minus matched static baseline,10,0.019070260246660177,0.003047138782421673,6.258415388453145,0.019737387172341476,0.011221860167069851,0.0222134952779435,10,0,0,0.017048538849695708,0.02052925113597634,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Source forgetting,False,static_comparisons,Random B50 minus static,Random B50 marginal mean minus matched static baseline,10,0.01619071364220507,0.0029251730763800166,5.534959203932483,0.017200821636274774,0.00932800177350385,0.01932819966860835,10,0,0,0.01430975023363549,0.01770250291208052,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Source forgetting,False,static_comparisons,UD B200 minus static,UD B200 marginal mean minus matched static baseline,10,0.018619722319905295,0.0038223418383145635,4.871286532581696,0.018847746963413577,0.0088769498994062,0.02256190840613535,10,0,0,0.01608034716082918,0.02051080669984973,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
Source forgetting,False,static_comparisons,UD B50 minus static,UD B50 marginal mean minus matched static baseline,10,0.01813780948145642,0.004643474172397,3.906086005447411,0.0189901327523159,0.01064309973286805,0.02544624474843105,10,0,0,0.015323636846774309,0.020777776427470293,0.001953125,0.001953125,0.0078125,0.029296875,0.1171875
