metric,analysis_family,contrast,seed,difference
Novel exact recall,factorial_effects,Selection x update,109,-0.00030339805825240103
Novel exact recall,factorial_effects,Selection x update,127,-0.00030339805825245134
Novel exact recall,factorial_effects,Selection x update,149,0.0
Novel exact recall,factorial_effects,Budget x update,11,0.0
Novel exact recall,factorial_effects,Budget x update,23,-7.584951456309982e-05
Novel exact recall,factorial_effects,Budget x update,37,0.0
Novel exact recall,factorial_effects,Budget x update,53,-7.584951456309982e-05
Novel exact recall,factorial_effects,Budget x update,71,0.0
Novel exact recall,factorial_effects,Budget x update,83,0.0
Novel exact recall,factorial_effects,Budget x update,97,-0.0002654733009708754
Novel exact recall,factorial_effects,Budget x update,109,-0.00030339805825240103
Novel exact recall,factorial_effects,Budget x update,127,-0.00030339805825245134
Novel exact recall,factorial_effects,Budget x update,149,0.0
Novel exact recall,factorial_effects,Selection x budget x update,11,0.0
Novel exact recall,factorial_effects,Selection x budget x update,23,0.00015169902912619965
Novel exact recall,factorial_effects,Selection x budget x update,37,0.0
Novel exact recall,factorial_effects,Selection x budget x update,53,0.00015169902912619965
Novel exact recall,factorial_effects,Selection x budget x update,71,0.0
Novel exact recall,factorial_effects,Selection x budget x update,83,0.0
Novel exact recall,factorial_effects,Selection x budget x update,97,0.0005309466019417508
Novel exact recall,factorial_effects,Selection x budget x update,109,0.0006067961165048021
Novel exact recall,factorial_effects,Selection x budget x update,127,0.0006067961165049027
Novel exact recall,factorial_effects,Selection x budget x update,149,0.0
Novel exact recall,simple_effects,At B50: random minus UD,11,0.8247496966019419
Novel exact recall,simple_effects,At B50: random minus UD,23,0.8268734830097088
Novel exact recall,simple_effects,At B50: random minus UD,37,0.8286938713592235
Novel exact recall,simple_effects,At B50: random minus UD,53,0.8272527305825242
Novel exact recall,simple_effects,At B50: random minus UD,71,0.8234602548543689
Novel exact recall,simple_effects,At B50: random minus UD,83,0.8280870752427184
Novel exact recall,simple_effects,At B50: random minus UD,97,0.8305901092233009
Novel exact recall,simple_effects,At B50: random minus UD,109,0.8166337985436893
Novel exact recall,simple_effects,At B50: random minus UD,127,0.8187575849514563
Novel exact recall,simple_effects,At B50: random minus UD,149,0.8323346480582525
Novel exact recall,simple_effects,At B200: random minus UD,11,0.00015169902912615107
